"YEAR","NEWCOURSECODE","NEWCOURSETITLE","STUDYLEVEL","COMMUTELENGTH","ACCOMMODATIONTYPE","CAMPUSPOSTCODE","AVERAGEMODULEMARK","PERCENTAGEATTENDANCE","DEGREETYPE","DEGREECLASS"
"2017/18","BAJMC01F","BA Digital Media and Communication FT","Level 5",1.69,"Unknown","HA1 3TP",60,35.62,"BA","2:i"
"2016/17","BSCSS02F","BSc Computer Science FT","Level 5",8.31,"Commuter","W1W 6XH",56,80,"BSc","2:ii"
"2017/18","BSCSS02F","BSc Computer Science FT","Level 6",8.31,"Commuter","W1W 6XH",57,57.89,"BSc","2:ii"
"2016/17","BACRI01F","BA Criminology FT","Level 6",10.7,"Commuter","W1B 2HW",69,48.61,"BA","2:i"
"2017/18","BAHIS01F","BA History and Politics FT","Level 4",5.8,"Commuter","W1B 2HW",66,81.43,"BA","2:i"
"2016/17","BAENG03F","BA English Language and Linguistics FT","Level 5",8.63,"Other inc. Private Halls","W1B 2HW",59,41.51,"BA","2:ii"
"2017/18","BAENG03F","BA English Language and Linguistics FT","Level 6",8.63,"Other inc. Private Halls","W1B 2HW",67,51.43,"BA","2:i"
"2017/18","BATOE03F","BA Tourism with Business FT","Level 4",4.79,"Other inc. Private Halls","NW1 5LS",44,46.15,"BA","3rd"
"2017/18","BABSM06F","BA Business Management FT","Level 5",2.66,"Other inc. Private Halls","NW1 5LS",57,53.12,"BA","2:ii"
"2016/17","BABSM07F","BA International Business FT","Level 4",4.78,"Commuter","NW1 5LS",51,45.26,"BA","2:ii"
"2017/18","BABSM07F","BA International Business FT","Level 5",4.78,"Commuter","NW1 5LS",42,39.33,"BA","3rd"
"2017/18","BSMGM03F","BSc Digital Media Development FT","Level 4",6.89,"Commuter","W1W 6XH",51,28,"BSc","2:ii"
"2017/18","BLLAW02F","LLB Law FT","Level 4",8.3,"Commuter","W1B 2HW",51,67.57,"LLB","2:ii"
"2016/17","BSMGM03F","BSc Digital Media Development FT","Level 4",1.62,"Commuter","W1W 6XH",44,59.46,"BSc","3rd"
"2017/18","BLLAW02F","LLB Law FT","Level 4",3.25,"Commuter","W1B 2HW",54,40.28,"LLB","2:ii"
"2017/18","BSPSY02F","BSc Psychology FT","Level 4",17.13,"Commuter","W1W 6XH",51,48.65,"BSc","2:ii"
"2017/18","BSECO01F","BSc Business Economics FT","Level 4",6.07,"UoW Halls","NW1 5LS",71,77.03,"BSc","1st"
"2017/18","BACRI01F","BA Criminology FT","Level 4",4.09,"Other inc. Private Halls","W1B 2HW",61,33.8,"BA","2:i"
"2016/17","BAARC01F","BA Architecture FT","Level 6",2.33,"Commuter","NW1 5LS",53,32.53,"BA","2:ii"
