"YEAR","NEWCOURSECODE","NEWCOURSETITLE","STUDYLEVEL","COMMUTELENGTH","ACCOMMODATIONTYPE","CAMPUSPOSTCODE","AVERAGEMODULEMARK","PERCENTAGEATTENDANCE","DEGREETYPE","DEGREECLASS"
"2017/18","BABSM06F","BA Business Management FT","Level 4",2.25,"Other inc. Private Halls","NW1 5LS",56,68.06,"BA","2:ii"
"2016/17","BAARC02F","BA Interior Architecture FT","Level 5",6.81,"Commuter","NW1 5LS",45,47.22,"BA","3rd"
"2016/17","BAENG07F","BA English Literature FT","Level 6",3.76,"Commuter","W1B 2HW",62,9.68,"BA","2:i"
"2016/17","BSBMS04F","BSc Honours Biomedical Sciences (Sandwich) FT","Level 6",4.85,"Commuter","W1W 6XH",40,39.66,"BSc","3rd"
"2016/17","BSPOC03F","BSc Building Surveying FT","Level 6",8.91,"Commuter","NW1 5LS",73,64,"BSc","1st"
"2017/18","BAPIR01F","BA International Relations and Development FT","Level 4",2.85,"Other inc. Private Halls","W1B 2HW",71,85.71,"BA","1st"
"2017/18","BAPIR03F","BA Politics and International Relations FT","Level 6",9.33,"Other inc. Private Halls","W1B 2HW",61,65.08,"BA","2:i"
"2017/18","BAADS01F","BA Animation FT","Level 4",0.59,"UoW Halls","HA1 3TP",64,36.46,"BA","2:i"
"2017/18","BAJMC02F","BA Journalism FT","Level 4",18.77,"Unknown","HA1 3TP",63,44.44,"BA","2:i"
"2016/17","BACRI01F","BA Criminology FT","Level 4",31.01,"Unknown","W1B 2HW",64,69.23,"BA","2:i"
"2017/18","BACRI01F","BA Criminology FT","Level 5",31.01,"Unknown","W1B 2HW",60,51.43,"BA","2:i"
"2016/17","BSECO01F","BSc Business Economics FT","Level 6",7.26,"Commuter","NW1 5LS",63,61.25,"BSc","2:i"
"2016/17","BALAN06F","BA Language and Other Disciplines FT","Level 4",6.66,"UoW Halls","W1B 2HW",69,80.85,"BA","2:i"
"2017/18","BALAN06F","BA Language and Other Disciplines FT","Level 5",2.59,"Other inc. Private Halls","W1B 2HW",66,71.25,"BA","2:i"
"2017/18","BLLAW02F","LLB Law FT","Level 6",1.98,"Other inc. Private Halls","W1B 2HW",61,67.27,"LLB","2:i"
"2017/18","BSPSY02F","BSc Psychology FT","Level 4",3.97,"Commuter","W1W 6XH",59,81.69,"BSc","2:ii"
"2016/17","BSFIN01F","BSc Finance FT","Level 4",8.34,"Commuter","NW1 5LS",40,50.56,"BSc","3rd"
"2017/18","BSFIN01F","BSc Finance FT","Level 5",9.38,"Unknown","NW1 5LS",47,50.67,"BSc","3rd"
"2016/17","BLLAW02F","LLB Law FT","Level 5",20.24,"Unknown","W1B 2HW",48,21.05,"LLB","3rd"
"2017/18","BLLAW02F","LLB Law FT","Level 6",20.24,"Unknown","W1B 2HW",58,35.62,"LLB","2:ii"
"2016/17","BAJMC02F","BA Journalism FT","Level 4",0.59,"UoW Halls","HA1 3TP",50,49.38,"BA","2:ii"
"2017/18","BAJMC02F","BA Journalism FT","Level 5",3.28,"Other inc. Private Halls","HA1 3TP",59,31.03,"BA","2:ii"
"2016/17","BAENG07F","BA English Literature FT","Level 6",16.66,"Commuter","W1B 2HW",67,45.95,"BA","2:i"
"2016/17","BABSM06F","BA Business Management FT","Level 6",34.84,"Unknown","NW1 5LS",63,45.98,"BA","2:i"
"2016/17","BABSM06F","BA Business Management FT","Level 4",5.93,"Commuter","NW1 5LS",57,54.65,"BA","2:ii"
"2017/18","BABSM06F","BA Business Management FT","Level 5",5.93,"Commuter","NW1 5LS",54,16.09,"BA","2:ii"
"2017/18","BACRI01F","BA Criminology FT","Level 4",3.13,"Commuter","W1B 2HW",46,72.88,"BA","3rd"
"2016/17","BSACC01F","BSc Accounting FT","Level 5",13.56,"Commuter","NW1 5LS",58,62.35,"BSc","2:ii"
"2017/18","BSACC01F","BSc Accounting FT","Level 6",13.56,"Commuter","NW1 5LS",56,52.63,"BSc","2:ii"
"2016/17","BABSM06F","BA Business Management FT","Level 6",8.83,"Other inc. Private Halls","NW1 5LS",63,36.84,"BA","2:i"
"2017/18","BSMGM01F","BSc Computer Games Development FT","Level 4",10.63,"Other inc. Private Halls","W1W 6XH",32,27.47,"BSc","3rd"
"2016/17","BAARC01F","BA Architecture FT","Level 6",4.41,"Other inc. Private Halls","NW1 5LS",52,3.61,"BA","2:ii"
"2017/18","BAPHT02F","BA Photography FT","Level 4",0.59,"UoW Halls","HA1 3TP",63,18.18,"BA","2:i"
"2017/18","BSBMS01F","BSc Biomedical Sciences FT","Level 5",15.03,"Commuter","W1W 6XH",13,39.19,"BSc","3rd"
"2016/17","BAJMC06F","BA Television Production FT","Level 4",0.59,"UoW Halls","HA1 3TP",59,53.57,"BA","2:ii"
"2017/18","BAJMC06F","BA Television Production FT","Level 5",0,"UoW Halls","HA1 3TP",66,1.49,"BA","2:i"
"2016/17","BABSM06F","BA Business Management FT","Level 6",6.32,"Other inc. Private Halls","NW1 5LS",72,52.87,"BA","1st"
"2017/18","BECSS01F","BEng Software Engineering FT","Level 4",8.45,"Other inc. Private Halls","W1W 6XH",84,87.78,"BEng","1st"
"2017/18","BSPSY01F","BSc Cognitive and Clinical Neuroscience FT","Level 4",12.03,"Commuter","W1W 6XH",47,32.43,"BSc","3rd"
"2016/17","BAPHT01F","BA Contemporary Media Practice FT","Level 4",0.59,"UoW Halls","HA1 3TP",58,42.17,"BA","2:ii"
"2017/18","BAPHT01F","BA Contemporary Media Practice FT","Level 5",23.47,"Unknown","HA1 3TP",60,28.99,"BA","2:i"
"2016/17","BAJMC04F","BA Public Relations and Advertising FT","Level 5",1.1,"Unknown","HA1 3TP",65,42.25,"BA","2:i"
"2016/17","BASOC01F","BA Sociology FT","Level 5",7.65,"Commuter","W1B 2HW",62,33.93,"BA","2:i"
"2017/18","BASOC01F","BA Sociology FT","Level 6",7.65,"Commuter","W1B 2HW",61,27.08,"BA","2:i"
"2017/18","BAPHT01F","BA Contemporary Media Practice FT","Level 4",0.83,"Other inc. Private Halls","HA1 3TP",64,42.22,"BA","2:i"
"2016/17","BSPOC02F","BSc Building Engineering FT","Level 4",0.53,"Other inc. Private Halls","NW1 5LS",45,58,"BSc","3rd"
"2017/18","BSPOC02F","BSc Building Engineering FT","Level 5",0.53,"Other inc. Private Halls","NW1 5LS",30,42.86,"BSc","3rd"
"2016/17","BAENG07F","BA English Literature FT","Level 6",11.44,"Other inc. Private Halls","W1B 2HW",62,48.28,"BA","2:i"
"2017/18","BSACC01F","BSc Accounting FT","Level 4",9.8,"Commuter","NW1 5LS",75,44.44,"BSc","1st"
"2017/18","BAJMC05F","BA Radio and Digital Production FT","Level 4",0.59,"UoW Halls","HA1 3TP",64,75.32,"BA","2:i"
"2016/17","BSBMS01F","BSc Biomedical Sciences FT","Level 5",7.4,"Other inc. Private Halls","W1W 6XH",54,71.67,"BSc","2:ii"
"2017/18","BSBMS01F","BSc Biomedical Sciences FT","Level 6",2.41,"Other inc. Private Halls","W1W 6XH",53,43.59,"BSc","2:ii"
"2016/17","BSBIO02F","BSc Biological Sciences FT","Level 6",8.88,"Commuter","W1W 6XH",48,53.95,"BSc","3rd"
"2017/18","BAADS01F","BA Animation FT","Level 4",4.32,"Unknown","HA1 3TP",64,19.79,"BA","2:i"
"2017/18","BABSM06F","BA Business Management FT","Level 4",10.8,"Unknown","NW1 5LS",70,69.86,"BA","1st"
"2016/17","BSFIN01F","BSc Finance FT","Level 5",5.5,"Other inc. Private Halls","NW1 5LS",54,40.79,"BSc","2:ii"
"2017/18","BSFIN01F","BSc Finance FT","Level 6",0.21,"Other inc. Private Halls","NW1 5LS",50,40.91,"BSc","2:ii"
"2016/17","BAFAS02F","BA Fashion Design FT","Level 5",4.73,"Other inc. Private Halls","HA1 3TP",60,0,"BA","2:i"
"2017/18","BSECO01F","BSc Business Economics FT","Level 4",26.03,"Unknown","NW1 5LS",68,63.01,"BSc","2:i"
"2016/17","BABSM06F","BA Business Management FT","Level 5",9,"Commuter","NW1 5LS",47,77.91,"BA","3rd"
"2016/17","BLLAW02F","LLB Law FT","Level 5",11.08,"Commuter","W1B 2HW",54,69.15,"LLB","2:ii"
"2017/18","BLLAW02F","LLB Law FT","Level 6",11.08,"Commuter","W1B 2HW",61,55.84,"LLB","2:i"
"2017/18","BAFAS01F","BA Fashion Buying Management FT","Level 4",2.22,"UoW Halls","HA1 3TP",53,61.11,"BA","2:ii"
"2017/18","BSPSY02F","BSc Psychology FT","Level 4",6.64,"UoW Halls","W1W 6XH",63,71.83,"BSc","2:i"
"2017/18","BAPIR01F","BA International Relations and Development FT","Level 4",6.66,"UoW Halls","W1B 2HW",64,61.04,"BA","2:i"
"2016/17","BAHIS03F","BA History FT","Level 4",3.02,"Commuter","W1B 2HW",52,38.1,"BA","2:ii"
"2017/18","BAHIS03F","BA History FT","Level 5",3.02,"Commuter","W1B 2HW",59,34.25,"BA","2:ii"
"2017/18","BAADS01F","BA Animation FT","Level 6",16.32,"Other inc. Private Halls","HA1 3TP",0,2.56,"BA","3rd"
"2016/17","BAPIR03F","BA Politics and International Relations FT","Level 6",0.6,"UoW Halls","W1B 2HW",63,46.81,"BA","2:i"
"2016/17","BSACC01F","BSc Accounting FT","Level 4",8.5,"Commuter","NW1 5LS",65,70.45,"BSc","2:i"
"2017/18","BSACC01F","BSc Accounting FT","Level 5",8.5,"Commuter","NW1 5LS",75,80.95,"BSc","1st"
"2016/17","BLLAW02F","LLB Law FT","Level 4",6.23,"Other inc. Private Halls","W1B 2HW",58,57.01,"LLB","2:ii"
"2017/18","BLLAW02F","LLB Law FT","Level 5",6.23,"Other inc. Private Halls","W1B 2HW",62,48.96,"LLB","2:i"
"2017/18","BSPSY02F","BSc Psychology FT","Level 4",6.64,"UoW Halls","W1W 6XH",60,74.29,"BSc","2:i"
"2017/18","BSFIN01F","BSc Finance FT","Level 4",3.63,"Other inc. Private Halls","NW1 5LS",77,87.84,"BSc","1st"
"2016/17","BAMRK01F","BA International Marketing FT","Level 5",4.33,"Commuter","NW1 5LS",67,86.67,"BA","2:i"
"2017/18","BAMRK01F","BA International Marketing FT","Level 6",4.33,"Commuter","NW1 5LS",66,61.33,"BA","2:i"
"2016/17","BMMUS01F","BMus Commercial Music Performance FT","Level 5",17.8,"Commuter","HA1 3TP",66,58.06,"BMus","2:i"
"2017/18","BMMUS01F","BMus Commercial Music Performance FT","Level 6",4.91,"Unknown","HA1 3TP",68,26.56,"BMus","2:i"
"2017/18","BSBIO01F","BSc Biochemistry FT","Level 4",0.76,"Other inc. Private Halls","W1W 6XH",46,56.84,"BSc","3rd"
"2016/17","BASOC01F","BA Sociology FT","Level 6",10,"Commuter","W1B 2HW",73,84.29,"BA","1st"
"2016/17","BABSM06F","BA Business Management FT","Level 5",5.3,"Commuter","NW1 5LS",68,67.06,"BA","2:i"
"2017/18","BABSM06F","BA Business Management FT","Level 6",5.3,"Commuter","NW1 5LS",69,70.42,"BA","2:i"
"2017/18","BAENG01F","BA Creative Writing and English Language FT","Level 6",4.85,"Other inc. Private Halls","W1B 2HW",63,58.62,"BA","2:i"
"2017/18","BAJMC02F","BA Journalism FT","Level 5",6.07,"Other inc. Private Halls","HA1 3TP",66,41.67,"BA","2:i"
"2016/17","BAPHT02F","BA Photography FT","Level 5",0.48,"Other inc. Private Halls","HA1 3TP",55,5.26,"BA","2:ii"
"2017/18","BAPHT02F","BA Photography FT","Level 6",0.48,"Other inc. Private Halls","HA1 3TP",56,3.33,"BA","2:ii"
"2016/17","BABSM06F","BA Business Management FT","Level 5",5.18,"Commuter","NW1 5LS",5,8.14,"BA","3rd"
"2016/17","BABSM07F","BA International Business FT","Level 4",6.07,"UoW Halls","NW1 5LS",64,64.37,"BA","2:i"
"2017/18","BABSM07F","BA International Business FT","Level 5",1.35,"Other inc. Private Halls","NW1 5LS",64,82.43,"BA","2:i"
"2016/17","BSNUT01F","BSc Human Nutrition FT","Level 4",6.93,"Commuter","W1W 6XH",52,79.59,"BSc","2:ii"
"2017/18","BSNUT01F","BSc Human Nutrition FT","Level 5",6.93,"Commuter","W1W 6XH",59,63.86,"BSc","2:ii"
"2016/17","BSACC01F","BSc Accounting FT","Level 4",9.96,"Unknown","NW1 5LS",52,56.82,"BSc","2:ii"
"2017/18","BSACC01F","BSc Accounting FT","Level 5",9.96,"Unknown","NW1 5LS",23,23.75,"BSc","3rd"
"2016/17","BABSM06F","BA Business Management FT","Level 6",7.34,"Other inc. Private Halls","NW1 5LS",11,23.86,"BA","3rd"
"2016/17","BABSM06F","BA Business Management FT","Level 6",0.81,"Commuter","NW1 5LS",66,86.59,"BA","2:i"
"2016/17","BABSM06F","BA Business Management FT","Level 5",10.2,"Commuter","NW1 5LS",60,71.76,"BA","2:i"
"2017/18","BABSM06F","BA Business Management FT","Level 6",10.2,"Commuter","NW1 5LS",70,80.56,"BA","1st"
"2016/17","BAPIR03F","BA Politics and International Relations FT","Level 4",5.55,"Commuter","W1B 2HW",69,64.1,"BA","2:i"
"2017/18","BAPIR03F","BA Politics and International Relations FT","Level 5",5.55,"Commuter","W1B 2HW",56,40,"BA","2:ii"
"2016/17","BAPHT01F","BA Contemporary Media Practice FT","Level 6",1.37,"Unknown","HA1 3TP",71,9.09,"BA","1st"
"2016/17","BAPIR02F","BA International Relations FT","Level 5",12.45,"Unknown","W1B 2HW",68,57.97,"BA","2:i"
"2017/18","BAPIR02F","BA International Relations FT","Level 6",12.45,"Unknown","W1B 2HW",66,67.27,"BA","2:i"
"2016/17","BAARC02F","BA Interior Architecture FT","Level 5",1.74,"Other inc. Private Halls","NW1 5LS",51,62.5,"BA","2:ii"
"2017/18","BAARC02F","BA Interior Architecture FT","Level 6",1.74,"Other inc. Private Halls","NW1 5LS",54,36.62,"BA","2:ii"
"2016/17","BAENG04F","BA Creative Writing and English Literature FT","Level 4",6.66,"UoW Halls","W1B 2HW",62,43.33,"BA","2:i"
"2017/18","BAENG04F","BA Creative Writing and English Literature FT","Level 5",2.41,"Other inc. Private Halls","W1B 2HW",64,18.48,"BA","2:i"
"2017/18","BAARC01F","BA Architecture FT","Level 4",6.12,"Other inc. Private Halls","NW1 5LS",48,37.38,"BA","3rd"
"2016/17","BAFAS01F","BA Fashion Buying Management FT","Level 4",0.59,"UoW Halls","HA1 3TP",62,43.42,"BA","2:i"
"2017/18","BAFAS01F","BA Fashion Buying Management FT","Level 5",0.94,"Unknown","HA1 3TP",63,40,"BA","2:i"
"2016/17","BAADS02F","BA Graphic Communication Design FT","Level 4",8.39,"Other inc. Private Halls","HA1 3TP",36,43.84,"BA","3rd"
"2017/18","BAADS02F","BA Graphic Communication Design FT","Level 5",8.39,"Other inc. Private Halls","HA1 3TP",48,34.72,"BA","3rd"
"2017/18","BABSM06F","BA Business Management FT","Level 4",7.39,"Commuter","NW1 5LS",72,78.31,"BA","1st"
"2016/17","BAFAS01F","BA Fashion Buying Management FT","Level 6",5.86,"Other inc. Private Halls","HA1 3TP",62,20,"BA","2:i"
"2016/17","BSPSY01F","BSc Cognitive and Clinical Neuroscience FT","Level 4",5.17,"Other inc. Private Halls","W1W 6XH",49,45.83,"BSc","3rd"
"2017/18","BSPSY01F","BSc Cognitive and Clinical Neuroscience FT","Level 5",5.17,"Other inc. Private Halls","W1W 6XH",60,54.24,"BSc","2:i"
"2017/18","BSACC01F","BSc Accounting FT","Level 4",7.27,"Commuter","NW1 5LS",4,16.67,"BSc","3rd"
"2016/17","BSPOC06F","BSc Quantity Surveying and Commercial Management FT","Level 5",6.08,"Commuter","NW1 5LS",61,90,"BSc","2:i"
"2017/18","BSPOC06F","BSc Quantity Surveying and Commercial Management FT","Level 6",6.08,"Commuter","NW1 5LS",69,91.67,"BSc","2:i"
"2016/17","BSPOC01F","BSc Architectural Technology FT","Level 5",1.68,"Commuter","NW1 5LS",54,37.25,"BSc","2:ii"
"2017/18","BSPOC01F","BSc Architectural Technology FT","Level 6",1.72,"Other inc. Private Halls","NW1 5LS",63,39.58,"BSc","2:i"
"2016/17","BAFAS02F","BA Fashion Design FT","Level 4",0.59,"UoW Halls","HA1 3TP",58,0,"BA","2:ii"
"2017/18","BAFAS02F","BA Fashion Design FT","Level 5",158.58,"Unknown","HA1 3TP",52,0,"BA","2:ii"
"2016/17","BABSM06F","BA Business Management FT","Level 4",2.8,"Commuter","NW1 5LS",53,32.89,"BA","2:ii"
"2017/18","BABSM06F","BA Business Management FT","Level 5",2.8,"Commuter","NW1 5LS",36,6.52,"BA","3rd"
"2016/17","BLLAW02F","LLB Law FT","Level 4",3.44,"Commuter","W1B 2HW",57,79.63,"LLB","2:ii"
"2017/18","BLLAW02F","LLB Law FT","Level 5",3.44,"Commuter","W1B 2HW",58,73.17,"LLB","2:ii"
"2016/17","BSCSS02F","BSc Computer Science FT","Level 4",6.64,"UoW Halls","W1W 6XH",76,72,"BSc","1st"
"2016/17","BLLAW02F","LLB Law FT","Level 4",9.92,"Other inc. Private Halls","W1B 2HW",46,65.35,"LLB","3rd"
"2017/18","BLLAW02F","LLB Law FT","Level 5",9.92,"Other inc. Private Halls","W1B 2HW",30,41.46,"LLB","3rd"
"2016/17","BSPSY02F","BSc Psychology FT","Level 4",6.86,"Commuter","W1W 6XH",58,80.56,"BSc","2:ii"
"2017/18","BSPSY02F","BSc Psychology FT","Level 5",6.86,"Commuter","W1W 6XH",5,80.77,"BSc","3rd"
"2016/17","BSCSS02F","BSc Computer Science FT","Level 4",6.64,"UoW Halls","W1W 6XH",12,27.63,"BSc","3rd"
"2016/17","BALAW03F","BA Legal Studies FT","Level 6",8.36,"Other inc. Private Halls","W1B 2HW",46,12.12,"BA","3rd"
"2016/17","BAMRK03F","BA Marketing Management FT","Level 4",12.86,"Unknown","NW1 5LS",72,85.33,"BA","1st"
"2017/18","BAMRK03F","BA Marketing Management FT","Level 5",12.86,"Unknown","NW1 5LS",71,89.19,"BA","1st"
"2016/17","BSPOC04F","BSc Construction Management FT","Level 4",7.73,"Commuter","NW1 5LS",51,80,"BSc","2:ii"
"2017/18","BSPOC04F","BSc Construction Management FT","Level 5",30.69,"Unknown","NW1 5LS",40,55.56,"BSc","3rd"
"2016/17","BATFM01F","BA Film FT","Level 6",1.28,"Unknown","HA1 3TP",70,0.79,"BA","1st"
"2016/17","BMMUS01F","BMus Commercial Music Performance FT","Level 5",1.3,"Other inc. Private Halls","HA1 3TP",63,50,"BMus","2:i"
"2017/18","BMMUS01F","BMus Commercial Music Performance FT","Level 6",1.3,"Other inc. Private Halls","HA1 3TP",74,35.29,"BMus","1st"
"2016/17","BALAN07F","BA Translation FT","Level 5",3.62,"Other inc. Private Halls","W1B 2HW",66,41.84,"BA","2:i"
"2017/18","BALAN07F","BA Translation FT","Level 6",9.9,"Other inc. Private Halls","W1B 2HW",69,55.95,"BA","2:i"
"2016/17","BATOE01F","BA Tourism and Events Management FT","Level 4",6.07,"UoW Halls","NW1 5LS",38,20.27,"BA","3rd"
"2017/18","BATOE01F","BA Tourism and Events Management FT","Level 4",8.84,"Commuter","NW1 5LS",67,78.08,"BA","2:i"
"2016/17","BSMGM01F","BSc Computer Games Development FT","Level 4",6.75,"Other inc. Private Halls","W1W 6XH",81,43.18,"BSc","1st"
"2017/18","BSMGM01F","BSc Computer Games Development FT","Level 5",6.75,"Other inc. Private Halls","W1W 6XH",35,17.24,"BSc","3rd"
"2016/17","BLLAW02F","LLB Law FT","Level 4",2.77,"Commuter","W1B 2HW",58,50,"LLB","2:ii"
"2017/18","BLLAW02F","LLB Law FT","Level 5",2.77,"Commuter","W1B 2HW",58,69.86,"LLB","2:ii"
"2016/17","BABSM06F","BA Business Management FT","Level 6",11.86,"Commuter","NW1 5LS",66,56.16,"BA","2:i"
"2016/17","BSBIO02F","BSc Biological Sciences FT","Level 6",3.5,"Other inc. Private Halls","W1W 6XH",66,55.41,"BSc","2:i"
"2017/18","BABSM06F","BA Business Management FT","Level 4",3.34,"Other inc. Private Halls","NW1 5LS",67,77.78,"BA","2:i"
"2016/17","BSCON02F","BSc Computer Network Security FT","Level 4",9.92,"Commuter","W1W 6XH",52,81.19,"BSc","2:ii"
"2017/18","BSCON02F","BSc Computer Network Security FT","Level 5",9.92,"Commuter","W1W 6XH",45,50.79,"BSc","3rd"
"2016/17","BSNUT01F","BSc Human Nutrition FT","Level 6",11.04,"Unknown","W1W 6XH",71,20.9,"BSc","1st"
"2016/17","BLLAW02F","LLB Law FT","Level 5",6.72,"Other inc. Private Halls","W1B 2HW",59,81.44,"LLB","2:ii"
"2017/18","BLLAW02F","LLB Law FT","Level 6",6.42,"Other inc. Private Halls","W1B 2HW",65,48,"LLB","2:i"
"2016/17","BLLAW02F","LLB Law FT","Level 5",11.13,"Commuter","W1B 2HW",55,41.49,"LLB","2:ii"
"2017/18","BLLAW02F","LLB Law FT","Level 6",11.13,"Commuter","W1B 2HW",63,43.84,"LLB","2:i"
"2016/17","BAPHT01F","BA Contemporary Media Practice FT","Level 6",6.11,"Other inc. Private Halls","HA1 3TP",67,4.55,"BA","2:i"
"2016/17","BAPIR03F","BA Politics and International Relations FT","Level 5",3.97,"Other inc. Private Halls","W1B 2HW",52,62.86,"BA","2:ii"
"2017/18","BAPIR03F","BA Politics and International Relations FT","Level 6",3.15,"Other inc. Private Halls","W1B 2HW",56,63.49,"BA","2:ii"
"2017/18","BAADS03F","BA Illustration and Visual Communication FT","Level 4",0.59,"UoW Halls","HA1 3TP",60,52.78,"BA","2:i"
"2016/17","BABSM06F","BA Business Management FT","Level 5",2.23,"Other inc. Private Halls","NW1 5LS",56,65.12,"BA","2:ii"
"2017/18","BABSM06F","BA Business Management FT","Level 6",3.2,"Other inc. Private Halls","NW1 5LS",64,54.05,"BA","2:i"
"2017/18","BSNUT01F","BSc Human Nutrition FT","Level 4",8.71,"Other inc. Private Halls","W1W 6XH",56,71.25,"BSc","2:ii"
"2016/17","BABSM06F","BA Business Management FT","Level 4",2.58,"Other inc. Private Halls","NW1 5LS",67,80.68,"BA","2:i"
"2017/18","BABSM06F","BA Business Management FT","Level 5",2.12,"Other inc. Private Halls","NW1 5LS",69,81.82,"BA","2:i"
"2016/17","BAMRK02F","BA Marketing Communications FT","Level 4",6.07,"UoW Halls","NW1 5LS",65,77.08,"BA","2:i"
"2017/18","BAMRK02F","BA Marketing Communications FT","Level 5",2.33,"Other inc. Private Halls","NW1 5LS",67,72,"BA","2:i"
"2016/17","BSCSS02F","BSc Computer Science FT","Level 6",9.28,"Commuter","W1W 6XH",50,52.13,"BSc","2:ii"
"2016/17","BLLAW02F","LLB Law FT","Level 4",5.01,"Other inc. Private Halls","W1B 2HW",52,43.88,"LLB","2:ii"
"2017/18","BLLAW02F","LLB Law FT","Level 5",5.01,"Other inc. Private Halls","W1B 2HW",48,51.32,"LLB","3rd"
"2016/17","BABSM06F","BA Business Management FT","Level 6",6.85,"Commuter","NW1 5LS",51,62.22,"BA","2:ii"
"2016/17","BAJMC06F","BA Television Production FT","Level 5",3.98,"Other inc. Private Halls","HA1 3TP",65,28.79,"BA","2:i"
"2017/18","BAJMC06F","BA Television Production FT","Level 6",3.98,"Other inc. Private Halls","HA1 3TP",73,3.61,"BA","1st"
"2016/17","BABSM06F","BA Business Management FT","Level 4",4.91,"Commuter","NW1 5LS",17,35.44,"BA","3rd"
"2016/17","BSCPM02F","BSc Herbal Medicine FT","Level 5",7.69,"Commuter","W1W 6XH",56,75,"BSc","2:ii"
"2017/18","BSCPM02F","BSc Herbal Medicine FT","Level 6",7.69,"Commuter","W1W 6XH",58,69.32,"BSc","2:ii"
"2016/17","BLLAW02F","LLB Law FT","Level 5",1.25,"Other inc. Private Halls","W1B 2HW",62,76.84,"LLB","2:i"
"2017/18","BLLAW02F","LLB Law FT","Level 6",1.25,"Other inc. Private Halls","W1B 2HW",70,68.66,"LLB","1st"
"2016/17","BSCSS02F","BSc Computer Science FT","Level 4",6.67,"Other inc. Private Halls","W1W 6XH",78,81.33,"BSc","1st"
"2017/18","BSCSS02F","BSc Computer Science FT","Level 5",6.53,"Other inc. Private Halls","W1W 6XH",66,47.06,"BSc","2:i"
"2016/17","BSNUT01F","BSc Human Nutrition FT","Level 6",3.03,"Other inc. Private Halls","W1W 6XH",63,67.8,"BSc","2:i"
"2016/17","BAJMC02F","BA Journalism FT","Level 4",0.59,"UoW Halls","HA1 3TP",63,75.82,"BA","2:i"
"2016/17","BSACC01F","BSc Accounting FT","Level 6",3.28,"Commuter","NW1 5LS",36,69.89,"BSc","3rd"
"2017/18","BLLAW02F","LLB Law FT","Level 4",6.66,"UoW Halls","W1B 2HW",65,88.16,"LLB","2:i"
"2016/17","BABSM06F","BA Business Management FT","Level 6",1.67,"Other inc. Private Halls","NW1 5LS",64,68.83,"BA","2:i"
"2017/18","BAPHT02F","BA Photography FT","Level 4",28.78,"Other inc. Private Halls","HA1 3TP",19,14.77,"BA","3rd"
"2017/18","BAMRK01F","BA International Marketing FT","Level 4",6.07,"UoW Halls","NW1 5LS",72,90.28,"BA","1st"
"2016/17","BAPHT02F","BA Photography FT","Level 5",4.09,"Other inc. Private Halls","HA1 3TP",67,21.7,"BA","2:i"
"2017/18","BAPHT02F","BA Photography FT","Level 6",1.99,"Other inc. Private Halls","HA1 3TP",69,5,"BA","2:i"
"2017/18","BABSM07F","BA International Business FT","Level 4",1.95,"Commuter","NW1 5LS",67,84.93,"BA","2:i"
"2017/18","BLLAW01F","LLB European Legal Studies FT","Level 6",3.43,"Other inc. Private Halls","W1B 2HW",59,11.76,"LLB","2:ii"
"2016/17","BSCSS02F","BSc Computer Science FT","Level 5",5.6,"Commuter","W1W 6XH",66,69.66,"BSc","2:i"
"2017/18","BSCSS02F","BSc Computer Science FT","Level 6",5.6,"Commuter","W1W 6XH",75,66.07,"BSc","1st"
"2017/18","BALAW03F","BA Legal Studies FT","Level 6",4.39,"Other inc. Private Halls","W1B 2HW",8,72.55,"BA","3rd"
"2016/17","BSCON02F","BSc Computer Network Security FT","Level 6",3.72,"Other inc. Private Halls","W1W 6XH",66,65.35,"BSc","2:i"
"2017/18","BSBMS01F","BSc Biomedical Sciences FT","Level 4",2.35,"Commuter","W1W 6XH",45,66.67,"BSc","3rd"
"2016/17","BSPOC07F","BSc Real Estate FT","Level 5",25.48,"Unknown","NW1 5LS",70,81.67,"BSc","1st"
"2017/18","BSPOC07F","BSc Real Estate FT","Level 6",25.48,"Unknown","NW1 5LS",72,69.39,"BSc","1st"
"2017/18","BSPSY02F","BSc Psychology FT","Level 4",7.29,"Commuter","W1W 6XH",59,85.92,"BSc","2:ii"
"2016/17","BSBMS01F","BSc Biomedical Sciences FT","Level 4",13.99,"Other inc. Private Halls","W1W 6XH",32,44.58,"BSc","3rd"
"2016/17","BSBIO01F","BSc Biochemistry FT","Level 4",11.04,"Other inc. Private Halls","W1W 6XH",66,79.78,"BSc","2:i"
"2017/18","BSBIO01F","BSc Biochemistry FT","Level 5",11.04,"Other inc. Private Halls","W1W 6XH",68,76.81,"BSc","2:i"
"2016/17","BAPIR03F","BA Politics and International Relations FT","Level 6",18.28,"Unknown","W1B 2HW",66,36.99,"BA","2:i"
"2016/17","BAMUS01F","BA Commercial Music FT","Level 4",0.59,"UoW Halls","HA1 3TP",58,53.57,"BA","2:ii"
"2017/18","BAMUS01F","BA Commercial Music FT","Level 5",4.29,"Other inc. Private Halls","HA1 3TP",67,26.19,"BA","2:i"
"2017/18","BAFAS01F","BA Fashion Buying Management FT","Level 4",64.68,"Unknown","HA1 3TP",57,47.22,"BA","2:ii"
"2016/17","BABSM06F","BA Business Management FT","Level 6",36.33,"Unknown","NW1 5LS",74,53.25,"BA","1st"
"2016/17","BABSM06F","BA Business Management FT","Level 4",1.49,"Other inc. Private Halls","NW1 5LS",53,51.35,"BA","2:ii"
